turma,unidade,professor,dia,departamento,link,sigla,inicio,titulo,desc,fim
2017141,Faculdade de Educação,Mônica Caldas Ehrenberg,qua,Metodologia do Ensino e Ed Comparada,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=EDM0445&verdis=6,EDM0445,08:30,Metodologia do Ensino de Educação Física I,"Nesta disciplina, a Educação Física é compreendida enquanto componente curricular inserido na área da Linguagem. Argumenta que a produção cultural manifestada pela motricidade, ou seja, a cultura corporal, é o objeto de estudo desta área do conhecimento. Em função disso, são fomentadas discussões a partir da construção teórica realizada acerca da temática corporal e a sua relação com a constituição do homem, da sociedade e da cultura, tomando como fundamento o entendimento do movimento humano como forma de linguagem que expressa significados. Esta disciplina apresenta uma concepção de Educação Física que busca o diálogo cultural por meio da cultura corporal e proporciona a aproximação, o estudo e a valorização de diversas formas de produção e expressão culturais dos alunos e de outros grupos, contribuindo para que os diversos grupos que chegam a escola possam sentir-se dignos de sua cultura, vivenciá-la, partilhá-la e aprender a respeitar a cultura de outros grupos sociais.",12:00
2017132,Faculdade de Educação,(R)Marcia Aparecida Gobbi,ter,Metodologia do Ensino e Ed Comparada,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=EDM0419&verdis=4,EDM0419,14:00,Metodologia do Ensino de Ciências Sociais I,"As disciplinas de Metodologia do Ensino de Ciências Sociais I objetiva realizar reflexões sobre questões de ensino, temas de educação, recursos didáticos e conteúdos programáticos das ciências sociais, presentes no currículo do ensino fundamental e médio, tendo como pontos de apoio textos selecionados e as experiências de estágio vividas pelos alunos, favorecendo uma integração entre teoria e prática.",17:40
2017133,Faculdade de Educação,(R)Marcia Aparecida Gobbi,ter,Metodologia do Ensino e Ed Comparada,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=EDM0419&verdis=4,EDM0419,19:30,Metodologia do Ensino de Ciências Sociais I,"As disciplinas de Metodologia do Ensino de Ciências Sociais I objetiva realizar reflexões sobre questões de ensino, temas de educação, recursos didáticos e conteúdos programáticos das ciências sociais, presentes no currículo do ensino fundamental e médio, tendo como pontos de apoio textos selecionados e as experiências de estágio vividas pelos alunos, favorecendo uma integração entre teoria e prática.",23:00
2017132,Faculdade de Educação,(R)Paulo Henrique Fernandes Silveira,ter,Metodologia do Ensino e Ed Comparada,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=EDM0423&verdis=4,EDM0423,14:00,Metodologia do Ensino de Filosofia I,"A filosofia é uma disciplina estratégica no ensino médio: permite aos alunos a oportunidade de apropriar-se das condições indispensáveis para a elaboração do pensamento reflexivo. Uma adequada formação do professor de filosofia decorre tento de sua compreensão da especificidade do trabalho filosófico quanto seu talento e agilidade na transformação dos elementos deste trabalho,  temas, problemas, linguagens, métodos  em matéria significativa para os alunos.",17:40
2017143,Faculdade de Educação,(R)Paulo Henrique Fernandes Silveira,qua,Metodologia do Ensino e Ed Comparada,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=EDM0423&verdis=4,EDM0423,19:30,Metodologia do Ensino de Filosofia I,"A filosofia é uma disciplina estratégica no ensino médio: permite aos alunos a oportunidade de apropriar-se das condições indispensáveis para a elaboração do pensamento reflexivo. Uma adequada formação do professor de filosofia decorre tento de sua compreensão da especificidade do trabalho filosófico quanto seu talento e agilidade na transformação dos elementos deste trabalho,  temas, problemas, linguagens, métodos  em matéria significativa para os alunos.",23:00
2017142,Faculdade de Educação,(R)Mauricio Pietrocola Pinto de Oliveira,qua,Metodologia do Ensino e Ed Comparada,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=EDM0425&verdis=8,EDM0425,14:00,Metodologia do Ensino de Física I,"Problemas e perspectivas atuais da organização curricular do ensino de física no nível médio. Caracterização do ensino veiculado nas escolas e re-conhecimento da sala de aula, em situações de estágio na escola. Desenvolvimento, aplicação e análise de intervenções em atividades de estágio em situação escolar. Reconhecimento de potencialidades do ensino de Física em contextos não-formais.",17:40
2017143,Faculdade de Educação,(R)Maria Lucia Vital dos Santos Abib,qua,Metodologia do Ensino e Ed Comparada,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=EDM0425&verdis=8,EDM0425,19:30,Metodologia do Ensino de Física I,"Problemas e perspectivas atuais da organização curricular do ensino de física no nível médio. Caracterização do ensino veiculado nas escolas e re-conhecimento da sala de aula, em situações de estágio na escola. Desenvolvimento, aplicação e análise de intervenções em atividades de estágio em situação escolar. Reconhecimento de potencialidades do ensino de Física em contextos não-formais.",23:00
2017122,Faculdade de Educação,(R)Silvia Luzia Frateschi Trivelato,seg,Metodologia do Ensino e Ed Comparada,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=EDM0433&verdis=7,EDM0433,14:00,Metodologia do Ensino de Ciências Biológicas I,"Este curso examinará os métodos básicos de instrução para as Ciências Biológicas. Formas de comunicação, realização de atividades didáticas e a natureza do diálogo professor-aluno serão analisadas durante as aulas e praticadas ao longo da realização dos estágios. O curso pretende prover os alunos com competência em habilidades básicas de condução de aula, incluindo manejo de classe e motivação pela familiarização com amplo espectro de modalidades didáticas, sua elaboração e aplicação; tal propósito resultará da articulação entre os temas desenvolvidos nas aulas da disciplina e as atividades realizadas pelos alunos nos estágios simultâneos. Atenção especial será dada ao papel da Biologia em tópicos de relevância social.",17:40
2017123,Faculdade de Educação,Nelio Marco Vincenzo Bizzo,seg,Metodologia do Ensino e Ed Comparada,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=EDM0433&verdis=7,EDM0433,19:30,Metodologia do Ensino de Ciências Biológicas I,"Este curso examinará os métodos básicos de instrução para as Ciências Biológicas. Formas de comunicação, realização de atividades didáticas e a natureza do diálogo professor-aluno serão analisadas durante as aulas e praticadas ao longo da realização dos estágios. O curso pretende prover os alunos com competência em habilidades básicas de condução de aula, incluindo manejo de classe e motivação pela familiarização com amplo espectro de modalidades didáticas, sua elaboração e aplicação; tal propósito resultará da articulação entre os temas desenvolvidos nas aulas da disciplina e as atividades realizadas pelos alunos nos estágios simultâneos. Atenção especial será dada ao papel da Biologia em tópicos de relevância social.",23:00
2017103,Faculdade de Educação,(R)Claudia Rosa Riolfi,ter,Metodologia do Ensino e Ed Comparada,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=EDM0667&verdis=2,EDM0667,19:30,Linguagem e Conhecimento,Linguagem e conhecimento: 1) a perspectiva tradicional; 2) os conhecimentos lingüísticos: forma e interação; 3) a perspectiva discursiva.,23:00
